complaint,symptoms,category,urgency,red_flags
"Saya merasa nyeri dada yang menjalar ke lengan kiri dan sesak napas","nyeri dada,sesak napas,keringat dingin,mual","Kardiovaskular","Red","nyeri dada menjalar,sesak napas"
"Dada saya sakit seperti ditusuk-tusuk dan napas terasa berat","nyeri dada,sesak napas,napas pendek","Kardiovaskular","Red","nyeri dada,sesak napas"
"Batuk-batuk sudah 3 hari, ada dahak kuning","batuk,dahak,demam ringan","Respirasi","Yellow","batuk lama"
"Batuk terus dan susah napas, napas bunyi ngik-ngik","batuk,sesak napas,mengi,napas berbunyi","Respirasi","Red","sesak napas,mengi"
"Flu biasa, hidung meler dan bersin-bersin","pilek,bersin,hidung tersumbat","Respirasi","Green",""
"Demam tinggi 39 derajat, kepala pusing dan badan lemas","demam tinggi,sakit kepala,lemas,menggigil","Infeksi","Yellow","demam tinggi"
"Demam sudah 5 hari tidak turun, leher kaku","demam tinggi,leher kaku,sakit kepala,mual","Infeksi","Red","demam lama,leher kaku"
"Perut sakit seperti diremas, mual dan muntah-muntah","sakit perut,mual,muntah,diare","Gastrointestinal","Yellow","muntah terus"
"Sakit perut kanan bawah sangat sakit, tidak bisa jalan","sakit perut hebat,nyeri tekan,mual,demam","Gastrointestinal","Red","nyeri perut hebat"
"Mencret-mencret terus, sudah 3 kali hari ini","diare,sakit perut,lemas","Gastrointestinal","Green",""
"Diare berdarah dan demam tinggi","diare berdarah,demam,sakit perut,lemas","Gastrointestinal","Red","diare berdarah"
"Pusing dan kepala terasa berat","sakit kepala,pusing,lemas","Neurologi","Green",""
"Kepala sangat sakit sebelah, mata kabur dan mual","sakit kepala hebat,mual,sensitif cahaya,mata kabur","Neurologi","Yellow","sakit kepala hebat"
"Kepala pusing tiba-tiba, bicara pelo dan tangan kanan lemas","pusing,bicara pelo,kelemahan satu sisi,bingung","Neurologi","Red","stroke symptoms,bicara pelo"
"Gatal-gatal di kulit dan bentol merah","gatal,ruam,kemerahan","Dermatologi","Green",""
"Gatal di seluruh badan dan bengkak di wajah","gatal,bengkak,sesak napas,ruam","Dermatologi","Red","bengkak wajah,sesak napas"
"Luka di kaki tidak sembuh-sembuh sudah 2 minggu","luka,nanah,demam,kemerahan","Dermatologi","Yellow","luka tidak sembuh"
"Demam naik turun sudah seminggu, badan pegal-pegal","demam,pegal,sakit kepala,lemas","Infeksi","Yellow","demam lama"
"BAK sakit dan keluar darah","nyeri buang air kecil,kencing berdarah,demam","Urologi","Red","kencing berdarah"
"Sering buang air kecil dan haus terus","poliuria,polidipsia,lemas,berat badan turun","Endokrin","Yellow","gejala diabetes"
"Batuk berdarah dan berat badan turun drastis","batuk berdarah,penurunan berat badan,keringat malam,demam","Respirasi","Red","batuk berdarah"
"Sesak napas tiba-tiba setelah naik tangga","sesak napas,nyeri dada,jantung berdebar","Kardiovaskular","Yellow","sesak napas"
"Mata kuning dan perut membesar","jaundice,perut membesar,lemas,mual","Hepatologi","Red","mata kuning"
"Pingsan tadi pagi dan sekarang masih pusing","pingsan,pusing,lemas,pucat","Neurologi","Red","pingsan"
"Demam berdarah suspect, badan pegal dan bintik merah","demam,pegal,ruam,mimisan","Infeksi","Red","suspect DBD"
"Sakit tenggorokan dan susah menelan","sakit tenggorokan,nyeri menelan,demam","Respirasi","Green",""
"Tenggorokan sakit sekali, tidak bisa menelan, keluar air liur terus","sakit tenggorokan hebat,tidak bisa menelan,sesak napas,drooling","Respirasi","Red","tidak bisa menelan"
"Asma kambuh, napas bunyi dan dada sesak","sesak napas,mengi,batuk,dada sesak","Respirasi","Yellow","sesak napas,mengi"
"Alergi makanan, gatal-gatal setelah makan udang","gatal,ruam,bengkak bibir","Dermatologi","Yellow","alergi"
"Bengkak di kaki kanan sejak kemarin","bengkak,nyeri,kemerahan","Muskuloskeletal","Green",""
"Kaki bengkak dua-duanya dan sesak napas saat tidur","bengkak kedua kaki,sesak napas,orthopnea","Kardiovaskular","Red","bengkak bilateral,sesak napas"
"Nyeri sendi lutut dan tangan, pagi hari kaku","nyeri sendi,kaku pagi,bengkak sendi","Muskuloskeletal","Yellow","nyeri sendi kronis"
"Vertigo, dunia berputar dan muntah","vertigo,mual,muntah,keseimbangan terganggu","Neurologi","Yellow","vertigo"
"Mata merah dan perih, pandangan kabur","mata merah,nyeri mata,pandangan kabur","Oftalmologi","Yellow","pandangan kabur"
"Sakit gigi luar biasa, pipi bengkak","sakit gigi,bengkak pipi,demam","Dental","Yellow","infeksi gigi"
"Keputihan berbau dan gatal","keputihan,gatal,bau,nyeri","Ginekologi","Green",""
"Telat haid 2 minggu dan mual-mual","telat haid,mual,pusing,payudara nyeri","Ginekologi","Green",""
"Hamil 8 bulan, keluar darah dan perut kram","perdarahan,nyeri perut,hamil tua","Obstetri","Red","perdarahan kehamilan"
"Anak rewel, demam tinggi dan kejang","demam tinggi,kejang,rewel","Pediatri","Red","kejang demam"
"Bayi mencret terus, lemas dan tidak mau minum","diare,dehidrasi,lemas,rewel","Pediatri","Red","dehidrasi bayi"
"Anak batuk pilek biasa, masih aktif bermain","batuk,pilek,demam ringan","Pediatri","Green",""
"Kencing manis tidak terkontrol, gula darah 400","hiperglikemia,haus,sering kencing,lemas","Endokrin","Yellow","gula darah tinggi"
"Diabetes, kaki kebas dan luka sulit sembuh","neuropati,luka,kebas,kesemutan","Endokrin","Yellow","komplikasi diabetes"
"Hipertensi, kepala pusing dan tengkuk tegang","hipertensi,sakit kepala,tengkuk tegang","Kardiovaskular","Yellow","hipertensi"
"Tekanan darah 200/120, kepala sangat sakit dan pandangan kabur","hipertensi emergency,sakit kepala hebat,pandangan kabur,mual","Kardiovaskular","Red","hipertensi emergency"
"Stress, susah tidur dan cemas terus","insomnia,cemas,gelisah,jantung berdebar","Psikiatri","Green",""
"Depresi berat, tidak mau makan dan ingin bunuh diri","depresi,ide bunuh diri,tidak mau makan,putus asa","Psikiatri","Red","ide bunuh diri"
"Terbakar air panas di tangan, melepuh","luka bakar,nyeri,melepuh","Trauma","Yellow","luka bakar"
"Kecelakaan, tangan patah dan berdarah banyak","fraktur,perdarahan,nyeri hebat,deformitas","Trauma","Red","trauma mayor"
"Jatuh dari motor, kepala benjol dan pusing","trauma kepala,benjol,pusing,mual","Trauma","Red","trauma kepala"
